instance,published_objective,sankhya_status,sankhya_objective,sankhya_relative_error,sankhya_seconds,sankhya_seconds_min,sankhya_seconds_max,sankhya_iterations,highs_status,highs_objective,highs_relative_error,highs_seconds,highs_seconds_min,highs_seconds_max,timing_repeats,objectives_agree,speed_ratio_sankhya_over_highs,git_commit,machine,timestamp_utc
scagr25,-14753433.061,optimal,-14753433.060768533,1.5689039049257294e-11,0.026273,0.016425,0.108467,465,optimal,-14753433.060768528,1.5689417804183323e-11,0.0071,0.006629,0.009012,15,1,3.701,53cbe16,Windows-AMD64,2026-09-09T03:48:32+00:00
scagr7,-2331389.2548,optimal,-2331389.824330984,2.442882426212426e-07,0.002482,0.002125,0.003105,111,optimal,-2331389.824330984,2.442882426212426e-07,0.002076,0.001968,0.003017,15,1,1.195,53cbe16,Windows-AMD64,2026-09-09T03:48:32+00:00
scfxm1,18416.759028,optimal,18416.759028348937,1.89466961451629e-11,0.021294,0.018429,0.037761,460,optimal,18416.759028348948,1.8947288754123286e-11,0.008519,0.008045,0.010407,15,1,2.499,53cbe16,Windows-AMD64,2026-09-09T03:48:32+00:00
scorpion,1878.1248227,optimal,1878.1248227381068,2.0289754267304842e-11,0.009132,0.007778,0.014064,242,optimal,1878.1248227381068,2.0289754267304842e-11,0.003444,0.003248,0.004051,15,1,2.651,53cbe16,Windows-AMD64,2026-09-09T03:48:32+00:00
scrs8,904.29998619,optimal,904.2969538007919,3.3533000712269414e-06,0.038874,0.033947,0.062555,610,optimal,904.296953800792,3.3533000711012235e-06,0.012568,0.011708,0.034446,15,1,3.093,53cbe16,Windows-AMD64,2026-09-09T03:48:32+00:00
scsd1,8.6666666743,optimal,8.666666674333364,3.8496385532573e-12,0.008915,0.007541,0.027564,155,optimal,8.666666674333364,3.8496385532573e-12,0.002574,0.002468,0.003696,15,1,3.463,53cbe16,Windows-AMD64,2026-09-09T03:48:32+00:00
scsd6,50.500000078,optimal,50.50000007714434,1.6943700541837166e-11,0.024196,0.019975,0.03396,367,optimal,50.5000000782623,5.194137741149621e-12,0.008302,0.007801,0.010093,15,1,2.914,53cbe16,Windows-AMD64,2026-09-09T03:48:32+00:00
scsd8,904.99999993,optimal,904.9999999254641,5.012019283721412e-12,0.175378,0.153255,1.129186,1785,optimal,904.9999999254643,5.011768042091069e-12,0.071006,0.045041,0.092971,15,1,2.47,53cbe16,Windows-AMD64,2026-09-09T03:48:32+00:00
sctap1,1412.25,optimal,1412.25,0.0,0.013108,0.010342,0.016925,269,optimal,1412.25,0.0,0.008935,0.007567,0.012159,15,1,1.467,53cbe16,Windows-AMD64,2026-09-09T03:48:32+00:00
share1b,-76589.318579,optimal,-76589.31857918552,2.4223007945303396e-12,0.006396,0.004677,0.007751,136,optimal,-76589.31857918572,2.42496078442158e-12,0.003752,0.003593,0.004197,15,1,1.704,53cbe16,Windows-AMD64,2026-09-09T03:48:32+00:00
share2b,-415.73224074,optimal,-415.7322407414191,3.4134854427794508e-12,0.003932,0.003607,0.005334,133,optimal,-415.73224074141945,3.4143058278247812e-12,0.002227,0.00214,0.002732,15,1,1.766,53cbe16,Windows-AMD64,2026-09-09T03:48:32+00:00
ship04l,1793324.538,optimal,1793324.5379703562,1.6530061397825488e-11,0.030215,0.02913,0.032531,449,optimal,1793324.5379703562,1.6530061397825488e-11,0.009826,0.009389,0.01069,15,1,3.075,53cbe16,Windows-AMD64,2026-09-09T03:48:32+00:00
ship04s,1798714.7004,optimal,1798714.7004453922,2.5235906848026957e-11,0.015062,0.014297,0.017339,300,optimal,1798714.7004453917,2.523564796245316e-11,0.00713,0.006607,0.007819,15,1,2.113,53cbe16,Windows-AMD64,2026-09-09T03:48:32+00:00
stair,-251.26695119,optimal,-251.2669511929633,1.17934501716146e-11,0.03843,0.032846,0.046621,448,optimal,-251.26695119296335,1.1793676398814761e-11,0.016459,0.015516,0.017778,15,1,2.335,53cbe16,Windows-AMD64,2026-09-09T03:48:32+00:00
standata,1257.6995,optimal,1257.6995000000002,1.8078537476021266e-16,0.005123,0.004655,0.006626,58,optimal,1257.6995,0.0,0.005323,0.005081,0.005737,15,1,0.962,53cbe16,Windows-AMD64,2026-09-09T03:48:32+00:00
standmps,1406.0175,optimal,1406.0175000000002,1.617146838095771e-16,0.012767,0.011656,0.015084,200,optimal,1406.0175,0.0,0.006234,0.005883,0.00898,15,1,2.048,53cbe16,Windows-AMD64,2026-09-09T03:48:32+00:00
stocfor1,-41131.976219,optimal,-41131.97621943643,1.0610571280306333e-11,0.002702,0.002618,0.003637,101,optimal,-41131.97621943641,1.061004060138329e-11,0.001668,0.001576,0.002791,15,1,1.619,53cbe16,Windows-AMD64,2026-09-09T03:48:32+00:00
tuff,0.29214776509,optimal,0.2921477650936128,3.612776744432722e-12,0.013,0.012452,0.014525,239,optimal,0.292147765093613,3.612998789037647e-12,0.012076,0.010278,0.017405,15,1,1.077,53cbe16,Windows-AMD64,2026-09-09T03:48:32+00:00
wood1p,1.4429024116,optimal,1.4429024115734101,1.8428024810276435e-11,0.154395,0.140503,0.182978,406,optimal,1.442902411573409,1.8428794247638033e-11,0.092369,0.080005,0.146932,15,1,1.672,53cbe16,Windows-AMD64,2026-09-09T03:48:32+00:00
