instance,instance_sha256,rows,columns,nonzeros,status,message,our_objective,published_objective,absolute_gap,relative_gap,matches_published,independently_verified,verifier_message,passed,objective_offset,differs_by_objective_constant,wall_seconds,solver_seconds,iterations,algorithm,git_commit,machine,timestamp_utc,solver_options
degen3,08d600688c524fea548e946af5551ef8c359c7a7e71b8841acc839b00eefadeb,1503,1818,24646,feasible,"the iterate stopped being finite at iteration 18; the best earlier iterate is reported as a feasible point (relative gap 3.4e-08, infeasibility 1.0e-10 / 1.8e-11)",-987.2939847779568,-987.294,1.522204320281162e-05,1.541794359411849e-08,0,1,,0,0.0,0,0.316955,0.2857317,18,ipm,64d2e9a,Windows-AMD64,2026-09-18T13:05:02+00:00,algorithm=ipm
dfl001,85d47c5f8a5fc53772eabac1805b7a1af72431cad9e14d26d673043980952730,6071,12230,35632,numerical_error,"the iterate stopped being finite at iteration 78; the best earlier iterate is reported as a feasible point (relative gap 8.6e-07, infeasibility 1.8e-08 / 1.8e-14); engine reported feasible but the returned point violates primal feasibility by 2.206e-05 (1.529e-06 relative to the scale it was measured on), above the 1.0e-07 tolerance; it is not a feasible point",11266402.225459147,11266400.0,2.225459147244692,1.9753063509592166e-07,0,,,0,0.0,0,79.812904,79.7593554,78,ipm,64d2e9a,Windows-AMD64,2026-09-18T13:05:02+00:00,algorithm=ipm
e226,ddf56486daea52c8592b520aeb83d329223a1b45a3e5a269bd663ef9195bd8d8,223,282,2578,optimal,"crossover push: 8 superbasic, 5 pivots in the push; crossover: 11 pivots from the interior point's basis guess in 0.00s, after 19 interior point iterations",-11.638929066370526,-18.751929066,7.112999999629473,0.379320974103213,0,1,,0,7.113,1,0.054936,0.0165316,30,ipm+crossover,64d2e9a,Windows-AMD64,2026-09-18T13:05:02+00:00,algorithm=ipm
etamacro,41701e1add7af2ed2b21a421ab7271bc867e6bc7ad98ac189748d6522e7d4926,400,688,2409,optimal,"crossover push: 81 superbasic, 48 pivots in the push; crossover: 73 pivots from the interior point's basis guess in 0.00s, after 25 interior point iterations",-755.7152328699043,-755.71521774,1.5129904340938083e-05,2.0020642678315696e-08,1,1,,1,0.0,0,0.070581,0.0408745,98,ipm+crossover,64d2e9a,Windows-AMD64,2026-09-18T13:05:02+00:00,algorithm=ipm
fffff800,9d6695686c15d5f1b4f43b2ce8830c1d38df3a204717d8875f144aa21b33901e,524,854,6227,numerical_error,"the interior-point iteration stalled after 5 iterations (steps 2.0e-08 / 1.3e-08); the model may be infeasible or unbounded, which this method does not certify",0.0,555679.61165,555679.61165,1.0,0,,,0,0.0,0,0.041519,0.0179727,5,ipm,64d2e9a,Windows-AMD64,2026-09-18T13:05:02+00:00,algorithm=ipm
finnis,891821f24a8cd14af78b95bb460a56f0e0b5410a59ad01ab58d9daf3387e7546,497,614,2310,optimal,"crossover push: 86 superbasic, 43 pivots in the push; crossover: 85 pivots from the interior point's basis guess in 0.00s, after 40 interior point iterations",172791.06559561167,172790.96547,0.10012561167241074,5.794609191520177e-07,1,1,,1,0.0,0,0.051257,0.0253836,125,ipm+crossover,64d2e9a,Windows-AMD64,2026-09-18T13:05:02+00:00,algorithm=ipm
fit1d,59cee4fedd040a05c05d8410474ee014f42ef910e083689202be708491fe8717,24,1026,13404,optimal,"crossover push: 0 superbasic, 0 pivots in the push; crossover: 0 pivots from the interior point's basis guess in 0.00s, after 17 interior point iterations",-9146.378092420928,-9146.3780924,2.092747308779508e-08,2.2880612277754342e-12,1,1,,1,0.0,0,0.0472,0.0169722,17,ipm+crossover,64d2e9a,Windows-AMD64,2026-09-18T13:05:02+00:00,algorithm=ipm
fit1p,416e77d83daf74dee5ec1d253b77f8e252ff3e27cd123459218b02ef2be0df17,627,1677,9868,optimal,"crossover push: 0 superbasic, 0 pivots in the push; crossover: 0 pivots from the interior point's basis guess in 0.01s, after 17 interior point iterations",9146.378092420935,9146.3780924,2.0934749045409262e-08,2.288856729288785e-12,1,1,,1,0.0,0,0.912282,0.8841917,17,ipm+crossover,64d2e9a,Windows-AMD64,2026-09-18T13:05:02+00:00,algorithm=ipm
fit2d,1c16c328c0358ab175596bdd6b9a2c5d1cb4bb53b099d5d1f2a208a889c7bafc,25,10500,129018,optimal,"crossover push: 7 superbasic, 4 pivots in the push; crossover: 4 pivots from the interior point's basis guess in 0.00s, after 31 interior point iterations",-68464.2932938321,-68464.293294,1.6789999790489674e-07,2.4523731981559937e-12,1,1,,1,0.0,0,0.279834,0.1705882,35,ipm+crossover,64d2e9a,Windows-AMD64,2026-09-18T13:05:02+00:00,algorithm=ipm
fit2p,0f44de8ea974ed4cc04fb60ccd2707c2f887dc65f8b6b9bd1e9f01bb59dd4a4f,3000,13525,50284,time_limit,"time limit 119.995s reached inside the factorization, which was abandoned",68468.88831773841,68464.293232,4.595085738415946,6.711652923729033e-05,0,,,0,0.0,0,120.35009,120.2373091,19,ipm,64d2e9a,Windows-AMD64,2026-09-18T13:05:02+00:00,algorithm=ipm
