family,parameter,value,seed,rows,columns,status,objective,expected_objective,relative_error,primal_infeasibility,dual_infeasibility,verified,iterations,solver_seconds,message,git_commit,machine,timestamp_utc,solver_options
near_parallel,twin rows differing by a relative 10^-k,16,71016,14,10,optimal,94.99999999999997,95.0,2.991758887410948e-16,,,1,12,0.0003161,,d9a09c7,Windows-AMD64,2026-09-06T09:53:54+00:00,
near_parallel,twin rows differing by a relative 10^-k,16,72016,14,10,optimal,62.99999999999997,63.0,4.511382449270477e-16,,,1,8,0.0003123,,d9a09c7,Windows-AMD64,2026-09-06T09:53:54+00:00,
near_parallel,twin rows differing by a relative 10^-k,16,73016,14,10,optimal,-74.00000000000001,-74.0,1.9203857723245952e-16,,,1,14,0.0002881,,d9a09c7,Windows-AMD64,2026-09-06T09:53:54+00:00,
cost_ratio,costs spanning 10^k,0,71000,10,12,optimal,8.000000000000004,8.0,4.440892098500626e-16,,,1,9,0.0002599,,d9a09c7,Windows-AMD64,2026-09-06T09:53:54+00:00,
cost_ratio,costs spanning 10^k,0,72000,10,12,optimal,325.0,325.0,0.0,,,1,16,0.0002712,,d9a09c7,Windows-AMD64,2026-09-06T09:53:54+00:00,
cost_ratio,costs spanning 10^k,0,73000,10,12,optimal,-144.0,-144.0,0.0,,,1,15,0.0003344,,d9a09c7,Windows-AMD64,2026-09-06T09:53:54+00:00,
cost_ratio,costs spanning 10^k,1,71001,10,12,optimal,-2843.0,-2843.0,0.0,,,1,14,0.0002911,,d9a09c7,Windows-AMD64,2026-09-06T09:53:54+00:00,
cost_ratio,costs spanning 10^k,1,72001,10,12,optimal,-2535.9999999999995,-2536.0,1.7931677874071928e-16,,,1,16,0.0002949,,d9a09c7,Windows-AMD64,2026-09-06T09:53:54+00:00,
cost_ratio,costs spanning 10^k,1,73001,10,12,optimal,1770.0000000000005,1770.0,2.569194072804882e-16,,,1,13,0.000432,,d9a09c7,Windows-AMD64,2026-09-06T09:53:54+00:00,
cost_ratio,costs spanning 10^k,2,71002,10,12,optimal,211.00000000000023,211.0,1.077600357550863e-15,,,1,12,0.0002998,,d9a09c7,Windows-AMD64,2026-09-06T09:53:54+00:00,
cost_ratio,costs spanning 10^k,2,72002,10,12,optimal,-3719.999999999998,-3720.0,4.889756461144775e-16,,,1,16,0.0003511,,d9a09c7,Windows-AMD64,2026-09-06T09:53:54+00:00,
cost_ratio,costs spanning 10^k,2,73002,10,12,optimal,19310.000000000015,19310.0,7.535947813758079e-16,,,1,12,0.0003546,,d9a09c7,Windows-AMD64,2026-09-06T09:53:54+00:00,
cost_ratio,costs spanning 10^k,3,71003,10,12,optimal,81162.99999999996,81163.0,5.378774279548632e-16,,,1,11,0.00028,,d9a09c7,Windows-AMD64,2026-09-06T09:53:54+00:00,
cost_ratio,costs spanning 10^k,3,72003,10,12,optimal,-7809.999999999998,-7810.0,2.329051733093286e-16,,,1,9,0.0002605,,d9a09c7,Windows-AMD64,2026-09-06T09:53:54+00:00,
cost_ratio,costs spanning 10^k,3,73003,10,12,optimal,-12799.999999999905,-12800.0,7.389644451905042e-15,,,1,12,0.0002765,,d9a09c7,Windows-AMD64,2026-09-06T09:53:54+00:00,
cost_ratio,costs spanning 10^k,4,71004,10,12,optimal,-1691065.0,-1691065.0,0.0,,,1,16,0.0004431,,d9a09c7,Windows-AMD64,2026-09-06T09:53:54+00:00,
cost_ratio,costs spanning 10^k,4,72004,10,12,optimal,-44019.99999999999,-44020.0,1.6528754234855578e-16,,,1,9,0.0002629,,d9a09c7,Windows-AMD64,2026-09-06T09:53:54+00:00,
