case,instance,sha256,arm,rep,status,objective,iterations,nodes,solve_seconds,commit,machine
MILP p0201,p0201.mps.gz,2ecd7f035c546453ffd5e4fe12cf41c111be192411c4cb7e268b3c8ba81e5335,detailed,5,optimal,7615.0,0,612,2.7582784,3630cba,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
MILP f2gap40400,f2gap40400.mps.gz,f592e8d127e1f3c5d36d65b05ddcb88ad5bf34d23de7e22941fd050221314a74,main,1,optimal,20772.0,0,542,3.4084054,3630cba,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
MILP f2gap40400,f2gap40400.mps.gz,f592e8d127e1f3c5d36d65b05ddcb88ad5bf34d23de7e22941fd050221314a74,off,1,optimal,20772.0,0,542,3.5889347,3630cba,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
MILP f2gap40400,f2gap40400.mps.gz,f592e8d127e1f3c5d36d65b05ddcb88ad5bf34d23de7e22941fd050221314a74,basic,1,optimal,20772.0,0,542,3.4770894,3630cba,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
MILP f2gap40400,f2gap40400.mps.gz,f592e8d127e1f3c5d36d65b05ddcb88ad5bf34d23de7e22941fd050221314a74,detailed,1,optimal,20772.0,0,542,5.0201789,3630cba,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
MILP f2gap40400,f2gap40400.mps.gz,f592e8d127e1f3c5d36d65b05ddcb88ad5bf34d23de7e22941fd050221314a74,main,2,optimal,20772.0,0,542,3.5210326,3630cba,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
MILP f2gap40400,f2gap40400.mps.gz,f592e8d127e1f3c5d36d65b05ddcb88ad5bf34d23de7e22941fd050221314a74,off,2,optimal,20772.0,0,542,3.3993547,3630cba,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
MILP f2gap40400,f2gap40400.mps.gz,f592e8d127e1f3c5d36d65b05ddcb88ad5bf34d23de7e22941fd050221314a74,basic,2,optimal,20772.0,0,542,3.7428994,3630cba,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
MILP f2gap40400,f2gap40400.mps.gz,f592e8d127e1f3c5d36d65b05ddcb88ad5bf34d23de7e22941fd050221314a74,detailed,2,optimal,20772.0,0,542,3.5327983,3630cba,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
MILP f2gap40400,f2gap40400.mps.gz,f592e8d127e1f3c5d36d65b05ddcb88ad5bf34d23de7e22941fd050221314a74,main,3,optimal,20772.0,0,542,3.5927783,3630cba,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
