instance,instance_sha256,rows,columns,nonzeros,status,message,our_objective,published_objective,absolute_gap,relative_gap,matches_published,independently_verified,verifier_message,passed,objective_offset,differs_by_objective_constant,wall_seconds,solver_seconds,iterations,algorithm,git_commit,machine,timestamp_utc,solver_options
nesm,20b55063a879a649ef5c7a1a701f81917717b414943f58dea37a1c30495bc5ba,662,2923,13288,iteration_limit,"iteration limit reached after 300 iterations; relative infeasibility 1.8e-02 / 2.2e-04, gap 4.6e+03",34961652.09842018,14076073.035,20885579.06342018,1.4837646132901143,0,,,0,0.0,0,0.874995,0.6755904,300,ipm,fa7eb86-dirty,Windows-AMD64,2026-09-17T17:08:59+00:00,algorithm=ipm
perold,040ed4572876366cd979b6811ee20d706abba6998616b0e53201ea1e043acacd,625,1376,6018,feasible,the interior-point iteration stalled after 129 iterations (steps 1.8e-11 / 7.1e-10); the best iterate is reported as a feasible point,-9380.755278344495,-9380.7580773,0.0027989555055683013,2.9837199536584843e-07,0,1,,0,0.0,0,0.780018,0.3236581,129,ipm,fa7eb86-dirty,Windows-AMD64,2026-09-17T17:08:59+00:00,algorithm=ipm
pilot,26916951225f695c68c474adb2e1e052e4c1b3479d6a11fbd579fd20d4e7d2eb,1441,3652,43167,iteration_limit,"iteration limit reached after 300 iterations; relative infeasibility 6.7e-05 / 7.4e-06, gap 7.7e+05",-415.9053661423011,-557.40430007,141.49893392769889,0.2538533231801928,0,,,0,0.0,0,21.542893,21.0722606,300,ipm,fa7eb86-dirty,Windows-AMD64,2026-09-17T17:08:59+00:00,algorithm=ipm
pilot4,67e872aae722a493f5c2c8f88e3d70d093eea116093874ea43852c864a687cba,410,1000,5141,optimal,,-2581.1392588838817,-2581.1392641,5.216118552198168e-06,2.0208590155312446e-09,1,1,,1,0.0,0,0.497864,0.1720938,107,ipm,fa7eb86-dirty,Windows-AMD64,2026-09-17T17:08:59+00:00,algorithm=ipm
pilot87,0ecfcc173d82c8a0252f58a99b2a529d8ad0155ee9212b8451cc25c0e387caa4,2030,4883,73152,iteration_limit,"iteration limit reached after 300 iterations; relative infeasibility 5.7e-17 / 2.5e-08, gap 9.9e-16",301.7106122418408,301.71072827,0.00011602815919786735,3.845675619928043e-07,0,,,0,0.0,0,72.046812,71.7150579,300,ipm,fa7eb86-dirty,Windows-AMD64,2026-09-17T17:08:59+00:00,algorithm=ipm
pilotnov,2b000b6da9fb539e3303d5b81f00cc74f430e7ed52d7666ff1ef835bf060773d,975,2172,13057,feasible,"the iterate stopped being finite at iteration 288; the best earlier iterate is reported as a feasible point (relative gap 8.5e-74, infeasibility 9.8e-10 / 1.5e-08)",-4497.276188218867,-4497.2761882,1.8866558093577623e-08,4.19510772833563e-12,0,1,,0,0.0,0,2.035987,1.7037264,288,ipm,fa7eb86-dirty,Windows-AMD64,2026-09-17T17:08:59+00:00,algorithm=ipm
recipe,277b34645cc89526db4a3365fa781ce28aa9768a65c4f301416a8a05c934af61,91,180,663,optimal,,-266.6159999989839,-266.616,1.0160761121369433e-09,3.811009512320878e-12,1,1,,1,0.0,0,0.342851,0.0035081,10,ipm,fa7eb86-dirty,Windows-AMD64,2026-09-17T17:08:59+00:00,algorithm=ipm
sc105,062d034400be956757316a9bde8e6de3d221a88fb5dc502def743f1883e23ec3,105,103,280,optimal,,-52.20206120321448,-52.202061212,8.785519867160474e-09,1.6829833273213539e-10,1,1,,1,0.0,0,0.278307,0.0023671,16,ipm,fa7eb86-dirty,Windows-AMD64,2026-09-17T17:08:59+00:00,algorithm=ipm
sc205,bcecc8d8cafd08c6d97cf8e39a740f5d777e317600bb9f6f158f2ceb550005f9,205,203,551,optimal,,-52.202061208340645,-52.202061212,3.6593519325833768e-09,7.00997594275488e-11,1,1,,1,0.0,0,0.390386,0.0058974,23,ipm,fa7eb86-dirty,Windows-AMD64,2026-09-17T17:08:59+00:00,algorithm=ipm
sc50a,36bfce2f419555712bf1b9a8477541199073c7654475d933475cea6db0abe2f2,50,48,130,optimal,,-64.57507700877433,-64.575077059,5.02256654044686e-08,7.77787153990992e-10,1,1,,1,0.0,0,0.379764,0.0015431,14,ipm,fa7eb86-dirty,Windows-AMD64,2026-09-17T17:08:59+00:00,algorithm=ipm
